Date:,Title:,Year:,Director:,Rating: ,,,
8/22/19,Roma,2018,Alfonso Cuarón,3,,,
8/23/19,Scream,1996,Wes Craven,2.5,,,
8/25/19,Jackie Brown,1997,Quentin Tarantino,4,,,
8/26/19,Coraline,2009,Henry Selick,3,,,
8/26/19,Under the Skin,2013,Jonathan Glazer,3.5,,,
8/27/19,Enemy,2013,Denis Villeneuve,2.5,,,
8/28/19,"Synecdoche, New York",2008,Charlie Kaufman,2,,,
8/28/19,A Separation,2011,Asghar Farhadi,3.5,,,
8/29/19,The King's Speech,2010,Tom Hooper,3,,,
8/29/19,Star Wars: The Last Jedi,2017,Rian Johnson,2,,,
8/30/19,Carol,2015,Todd Haynes,3,,,
8/30/19,Network,1976,Sidney Lumet,3,,,
8/31/19,Caddyshack,1980,Harold Ramis,1.5,,,
8/31/19,The Godfather,1972,Francis Ford Coppola,3.5,,,
9/1/19,Rain Man,1988,Barry Levinson,3,,,
9/1/19,Rocky,1976,John G. Avildsen,4.5,,,
9/2/19,The Ballad of Buster Scruggs,2018,"Ethan Coen, Joel Coen",3.5,,,
9/2/19,Coco,2017,"Lee Unkrich, Adrian Molina",2.5,,,
9/3/19,Monty Python's Life of Brian,1979,Terry Jones,3.5,,,
9/3/19,Mean Streets,1973,Martin Scorsese,2.5,,,
9/4/19,The Fellowship of the Ring,2001,Peter Jackson,5,,,
9/4/19,In Bruges,2008,Martin McDonagh,2.5,,,
9/5/19,Gremlins,1984,Joe Dante,2.5,,,
9/5/19,Black Panther,2018,Ryan Coogler,3,,,
9/6/19,Snowpiercer,2013,Bong Joon Ho,2,,,
9/7/19,Avengers: Infinity War,2018,Anthony Russo  ,2.5,,,
9/7/19,Mudbound,2017,Dee Rees,3.5,,,
9/8/19,The Two Towers,2002,Peter Jackson,4.5,,,
9/9/19,Mystic River,2003,Clint Eastwood,3,,,
9/9/19,The Princess and the Frog,2009,"John Musker, Ron Clements",4,,,
9/9/19,300,2006,Zack Snyder,2,,,
9/10/19,Millenium Actress,2001,Satoshi Kon,2.5,,,
9/10/19,Fear and Loathing in Las Vegas,1998,Terry Gilliam,2,,,
9/11/19,Amy,2015,Asif Kapadia,2.5,,,
9/11/19,Spider-Man: Into the Spider-Verse,2018,"Peter Ramsey, Bob Persichetti, Rodney Rothman",4,,,
9/12/19,Scott Pilgrim vs. the World,2010,Edgar Wright,1.5,,,
9/12/19,The Godfather Part II,1974,Francis Ford Coppola,3.5,,,
9/13/19,The Dark Crystal,1982,"Jim Henson, Frank Oz",2.5,,,
9/13/19,The Lives of Others,2006,Florian Henckel von Donnersmarck,3,,,
9/14/19,A Fish Called Wanda,1988,Charles Crichton,3.5,,,
9/14/19,Kill Bill: Volume 2,2004,Quentin Tarantino,3.5,,,
9/15/19,The Goonies,1985,Richard Donner,3,,,
9/15/19,The Witch,2015,Robert Eggers,3.5,,,
9/16/19,Blazing Saddles,1974,Mel Brooks,2.5,,,
9/16/19,The Triplets of Belleville,2003,Sylvain Chomet,2.5,,,
9/17/19,An American Tail,1986,Don Bluth,2,,,
9/17/19,Wayne's World,1992,Penelope Spheeris,2,,,
9/18/19,Close Encounters of the Third Kind,1977,Steven Spielberg,1.5,,,
9/18/19,The Lord of the Rings: The Return of the King,2003,Peter Jackson,5,,,
9/18/19,A History of Violence,2005,David Cronenberg,3.5,,,
9/19/19,His Girl Friday,1940,Howard Hawks,4,,,
9/19/19,Anomalisa,2015,"Charlie Kaufman, Duke Johnson",1.5,,,
9/19/19,The Killing,1956,Stanley Kubrick,3.5,,,
9/20/19,Harakiri,1962,Masaki Kobayashi,4.5,,,
9/21/19,The Aristocats,1970,Wolfgang Reitherman,3.5,,,
9/21/19,The Act of Killing,2012,Joshua Oppenheimer,2.5,,,
9/22/19,Apollo 13,1995,Ron Howard,2,,,
10/11/19,Hereditary,2018,Ari Aster,2.5,,,
10/20/19,Invasion of the Body Snatchers,1956,Don Siegel,2.5,,,
10/21/19,Halloween,1978,John Carpenter,2.5,,,
10/23/19,The Texas Chain Saw Massacre,1974,Tobe Hooper,3.5,,,
10/26/19,The Descent,2005,Neil Marshall,3,,,
11/4/19,Sunset Boulevard,1950,Billy Wilder,3,,,
11/5/19,A Nightmare on Elm Street,1984,Wes Craven,2.5,,,
11/7/19,Let the Right One In,2008,Tomas Alfredson,3,,,
11/10/19,Parasite,2019,Bong Joon Ho,3.5,,,
11/11/19,Amores Perros,2000,Alejandro González Iñárritu,2.5,,,
11/15/19,Dirty Harry,1971,Don Siegel,3.5,,,
11/17/19,Rosemary's Baby,1968,Roman Polanski,3,,,
11/20/19,Million Dollar Baby,2004,Clint Eastwood,2.5,,,
11/24/19,The African Queen,1951,John Huston,2,,,
11/27/19,Joker,2019,Todd Phillips,5,,,
11/28/19,First Blood,1982,Ted Kotcheff,2.5,,,
11/29/19,Mad Max 2: The Road Warrior,1981,George Miller,2.5,,,
11/30/19,Deadpool,2016,Tim Miller,3,,,
12/3/19,Trainspotting,1996,Danny Boyle,3,,,
12/4/19,Gully Boy,2019,Zoya Akhtar,3.5,,,
12/5/19,When Harry Met Sally,1989,Rob Reiner,3.5,,,
12/8/19,Ida,2013,Paweł Pawlikowski,2.5,,,
12/10/19,The Host,2006,Bong Joon Ho,1,,,
12/12/19,The Apartment,1960,Billy Wilder,3.5,,,
12/12/19,ThanksKilling,2008,Jordan Downey,3.5,,,
12/14/19,Fantasia,1940,Wilfred Jackson et al,3.5,,,
12/14/19,A Christmas Story,1983,Bob Clark,2,,,
12/14/19,Dumbo,1941,"Ben Sharpsteen, Wilfred Jackson, Norm Ferguson, Jack Kinney, Samuel Armstrong, Bill Roberts, John Elliotte",2.5,,,
12/15/19,Mary Poppins,1964,Robert Stevenson,2,,,
12/15/19,Tarzan,1999,"Chris Buck, Kevin Lima",3,,,
12/16/19,Tokyo Godfathers,2003,Satoshi Kon,2,,,
12/16/19,City of God,2002,"Fernando Meirelles, Kátia Lund",4.5,,,
12/17/19,The Aviator,2004,Martin Scorsese,2.5,,,
12/17/19,Bambi,1942,"David Hand, James Algar, Samuel Armstrong, Bill Roberts, Paul Satterfield, Graham Heid, Norman Wright",4,,,
12/18/19,Life is Beautiful,1999,Roberto Benigni,3,,,
12/18/19,The Secret of Kells,2009,"Tomm Moore, Nora Twomey",3,,,
12/19/19,Lady and the Tramp,1955,"Clyde Geronimi, Hamilton Luske, Wilfred Jackson",3.5,,,
12/19/19,American Honey,2016,Andrea Arnold,3.5,,,
12/20/19,Dogtooth,2009,Yorgos Lanthimos,2.5,,,
12/20/19,The Nightmare Before Christmas,1993,Henry Selick,3,,,
12/20/19,The Elephant Man,1980,David Lynch,3.5,,,
