Date:,Title:,Year:,Director:,Rating: ,,,
6/20/21,The Best Years of Our Lives,1946,William Wyler,1.5,,,
6/22/21,Kes,1969,Ken Loach,3.5,,,
6/24/21,Notorious,1946,Alfred Hitchcock,2,,,
6/25/21,Mud,2013,Jeff Nichols,1.5,,,
6/28/21,John Wick,2014,Chad Stahelski,3.5,,,
7/2/21,Death Proof,2007,Quentin Tarantino,2.5,,,
7/3/21,Tropic Thunder,2008,Ben Stiller,1.5,,,
7/4/21,Baraka,1992,Ron Fricke,3,,,
7/5/21,Flowers of Shanghai,1998,Hou Hsiao-Hsien,2,,,
7/6/21,Zola,2021,Janicza Bravo,4.5,,,
7/8/21,Unbreakable,2000,M. Night Shyamalan,1.5,,,
7/10/21,Memoirs of a Geisha,2005,Rob Marshall,2.5,,,
7/10/21,Planet of the Apes,1968,Franklin J. Schaffner,2.5,,,
7/13/21,Westworld,1973,Michael Crichton,3,,,
7/15/21,Signs,2002,M. Night Shyamalan,2,,,
7/19/21,"Sex, Lies, and Videotape",1989,Steven Soderbergh,4,,,
7/23/21,McCabe & Mrs. Miller,1971,Robert Altman,3,,,
7/27/21,The Last King of Scotland,2006,Kevin Macdonald,2.5,,,
