#   Phase              Relative Intensity
    0.0069921308      0.99893672
    0.0071124856      0.99941863
    0.0072324999      0.99930674
    0.0073529304      0.99925586
    0.0074718857       1.0001457
    0.0075918622      0.99907494
    0.0077119523      0.99968700
    0.0078322314       1.0002505
    0.0079526996      0.99932452
    0.0080716550      0.99892751
    0.0081917072      0.99981265
    0.0083116837      0.99989261
    0.0084319250      0.99955733
    0.0085519772      0.99993324
    0.0086724076      0.99902868
    0.0087913630       1.0004772
    0.0089114152      0.99912963
    0.0090317321       1.0000772
    0.0091520113      0.99992679
    0.0092721391      0.99984029
    0.0093910944       1.0002650
    0.0095112223       1.0001384
    0.0096314257       1.0001358
    0.0097519318      0.99971492
    0.0098709250       1.0003736
    0.0099908637      0.99938661
     0.010110916      0.99976009
     0.010231271      0.99906744
     0.010351890       1.0012437
     0.010470619       1.0000682
     0.010590595       1.0000136
     0.010710685       1.0008720
     0.010830889       1.0004968
     0.010951357      0.99967996
     0.011071560      0.99984714
     0.011190364       1.0001749
     0.011310303      0.99932108
     0.011430431       1.0002729
     0.011550748      0.99987425
     0.011670951       1.0006162
     0.011791268       1.0002697
     0.011910072      0.99909806
     0.012030087       1.0003436
     0.012150366       1.0001676
     0.012270418      0.99990913
     0.012391265      0.99929722
     0.012509842      0.99893254
     0.012630083       1.0007539
     0.012750362      0.99984423
     0.012870603       1.0012936
     0.012989597      0.99945472
     0.013109876       1.0007335
     0.013229928       1.0008211
     0.013350396       1.0003821
     0.013469427      0.99942998
     0.013589366       1.0001932
     0.013709380      0.99931950
     0.013829584      0.99968992
     0.013949976      0.99930548
     0.014070029      0.99961510
     0.014189097       1.0003086
     0.014309112      0.99986902
     0.014429315       1.0000423
     0.014549443       1.0000773
     0.014669647      0.99932325
     0.014789888       1.0002573
     0.014908768       1.0007317
     0.015029084      0.99947777
     0.015149288      0.99966601
     0.015269491      0.99931443
     0.015388522       1.0001049
     0.015508612       1.0000105
     0.015628892       1.0018024
     0.015749095       1.0001321
     0.015869374       1.0001193
     0.015988330       1.0007149
     0.016108382      0.99997501
     0.016228699       1.0000307
     0.016349167       1.0002488
     0.016468160      0.99968198
     0.016588061      0.99853583
     0.016708227       1.0007176
     0.016828430       1.0002342
     0.016948785       1.0003894
     0.017067702       1.0014569
