Orbit Semi-Major Axis,Planet Radius,Planet Mass,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Luminosity,Distance
0.04407,16.029,832.7146,,6440,1.37,1.27,,655.037
,,,,6343,1.36,1.56,,655.037
0.044,15.984,743.7222,1735,6440,1.37,1.26,,655.037
0.0392,15.065,277.46559,1417,,1.05,1,0.07,1126.37
0.04016,16.14,291.438,1442,5675,1.12,1.08,,1126.37
0.0394,15.132,281.91521,1410,5675,1.05,1.02,,1126.37
0.04013,16.141,290.81445,,5675,1.12,1.08,,1126.37
0.051,14.034,416.99296,1432,5945,1.27,1.09,,1148.93
0.05107,9.92,423.03173,,5945,1.01,1.09,,1148.93
0.051,9.92,415.704,1700,5945,1.01,1.09,,1148.93
0.027,12.22,2415.4,1952,6035,1.21,1.13,,1744.6
0.02691,12.218,2358.2986,,6040,1.21,1.13,,1744.6
0.02687,11.411,2437.7561,1936,6035,1.19,1.12,,1744.6
0.0618,13.115,168.13207,,5650,1.19,1.1,,732.409
0.0618,13.11,170.032,,5650,1.19,1.1,,732.409
0.0481,11.433,765.9703,,5740,1.59,1.04,,1176.12
0.0481,11.287,781.8618,1610,5740,1.62,1.04,,1176.12
0.0461,11.43,772.29,1626,5740,1.59,1.04,,1176.12
0.0286,14.022,1039.3041,1490,5440,0.92,0.86,,764.889
0.0295,14.68,1102.82,1550,5440,1,0.95,,764.889
0.0288,12.846,1048.839,1487,,0.88,0.88,-0.17,764.889
0.0295,14.684,1099.6918,,5440,1,0.95,,764.889
0.0518,14.46,352.78,2000,6090,1.65,1.21,0.544,790.663
0.05166,14.46,367.09365,,6090,1.65,1.21,,790.663
0.0512,13.339,346.4347,1630,6090,1.58,1.18,,790.663
,16.533,,,5575,,,,213.283
0.0281,16.432,1048.839,,5625,0.9,0.97,,213.283
0.0281,16.421,1051.973,,,,,,213.283
0.02798,16.432,1102.82,,5625,0.91,0.96,,213.283
,,,,5529,0.94,0.97,-0.131,213.283
0.02854,16.477,1150.5446,1548,5696,0.91,1.02,,213.283
0.02835,16.365,1134.6531,1521,5598,0.9,1,,213.283
,15.85,1052.0173,1535,5625,0.9,0.97,,213.283
0.09,,1366.669,,,,1.14,,844.061
0.0902,9.42,1347.54,1002,5880,1.02,1.14,,844.061
0.0892,13.002,1608.2198,1100,5880,1.34,1.11,,844.061
0.0901,9.416,1344.4209,,5880,1.02,1.14,,844.061
0.0891,11.209,1315.8162,1024,,1.16,1.1,0.17,844.061
2.9,,,,,,1.14,,844.061
0.0417,14.572,718.2958,,6200,1.95,1.29,,
0.0416,14.572,705.5826,,6200,1.95,1.29,,
0.092,4.88,12.2,885,5939,1.14,1.1,,627.158
0.048,11.77,889.9,1660,5900,1.61,1.14,,1060.97
0.0484,11.769,982.0947,,5900,1.61,1.14,,1060.97
0.04809,13.227,972.5598,1710,5900,1.74,1.12,,1060.97
0.056,3.7,5.7,1070,4950,0.86,0.91,,591.555
0.098,5,28,850,4950,0.86,0.91,,591.555
0.0578,12.11,85.81,1330,6040,1.19,1.09,,1103.48
0.05789,12.106,93.12419,,6040,1.19,1.09,,1103.48
0.0526,14.12,165.26,1600,5590,1.79,1.09,,1045.18
0.0525,14.123,184.3414,,5590,1.79,1.09,,1045.18
0.0476,11.287,3302.11,1500,5900,1.08,1.05,,1010.28
0.0467,11.287,3273.649,,5900,1.08,1.05,,1010.28
0.0603,10.705,153.82972,,5150,1.78,1.01,,766.183
0.059,10.705,152.87623,,5150,1.78,1.01,,766.183
,,,,5268,1.08,0.9,-0.094,806.507
0.039,10.088,266.9772,,5260,0.9,0.97,,806.507
0.0386,10.088,270.1555,,5260,0.9,0.97,,806.507
0.0574,11.321,6814.2752,,6740,1.56,1.37,,768.771
0.05783,11.624,6979.5468,1695,6740,1.57,1.4,,768.771
0.05694,11.135,6747.5309,,,1.54,1.36,,768.771
,11.32,6883.91,,6740,1.56,1.37,,768.771
,,,,6558,1.44,1.41,,768.771
0.0844,11.31,921.707,,5650,0.91,0.98,,1032.23
0.0586,16.365,266.9772,,5700,2.15,1.25,,2005.76
0.09,13.34,228.83,1074,6190,1.17,1.16,,726.412
0.09025,13.339,223.43449,,6190,1.17,1.16,,726.412
0.0912,13.002,232.33373,1058,6190,1.15,1.19,,726.412
0.04947,15.558,148.42,1438,6100,1.19,1,,882.472
0.0495,14.079,145.88397,1397,,1.11,0.99,0.18,882.472
0.04963,15.558,151.92274,,6100,1.19,1,,882.472
0.05004,13.249,149.3801,1348,6100,1.05,1.02,,882.472
0.0855,13.283,940.7768,1025,6090,1.04,1.05,,645.294
0.0854,13.07,937.5985,,6090,1.02,1.05,,645.294
0.0855,13.068,940.74,1017,6090,1.02,1.05,,645.294
,1.58,4.6,,5313,0.84,0.88,,159.906
0.017,,4.8,,5256,0.86,0.9,-0.289,159.906
